stage,dimension,origin,window,regional_gap
COVID,EnergyServiceSecurity,2013,2014-2015,-0.08892845882617632
COVID,LowCarbonContinuity,2013,2014-2015,-0.19171641578095985
COVID,MacroPricePressure,2013,2014-2015,0.8125065573808573
COVID,EnergyServiceSecurity,2014,2015-2016,0.002581319422984771
COVID,LowCarbonContinuity,2014,2015-2016,-0.19723217926181144
COVID,MacroPricePressure,2014,2015-2016,1.0247590562338418
COVID,EnergyServiceSecurity,2015,2016-2017,0.05878989299928728
COVID,LowCarbonContinuity,2015,2016-2017,-0.06580805327109135
COVID,MacroPricePressure,2015,2016-2017,0.6323851322712333
COVID,EnergyServiceSecurity,2016,2017-2018,0.06368794450869131
COVID,LowCarbonContinuity,2016,2017-2018,-0.03892822158850827
COVID,MacroPricePressure,2016,2017-2018,0.12693435770810915
COVID,EnergyServiceSecurity,2017,2018-2019,-0.0022862243176444085
COVID,LowCarbonContinuity,2017,2018-2019,-0.12633144125303092
COVID,MacroPricePressure,2017,2018-2019,0.1549194011525659
Compound,EnergyServiceSecurity,2013,2016-2017,5.5192647614018174e-05
Compound,LowCarbonContinuity,2013,2016-2017,-0.3360367798641762
Compound,MacroPricePressure,2013,2016-2017,0.925302706672885
Compound,EnergyServiceSecurity,2014,2017-2018,0.07803657661624931
Compound,LowCarbonContinuity,2014,2017-2018,-0.2734456847212461
Compound,MacroPricePressure,2014,2017-2018,0.6817663261621637
Compound,EnergyServiceSecurity,2015,2018-2019,0.060980525714937645
Compound,LowCarbonContinuity,2015,2018-2019,-0.22646178105124107
Compound,MacroPricePressure,2015,2018-2019,0.629622254084077
