dimension,stage,regional_gap,n_countries,sd,ci_low,ci_high,excludes_zero
EnergyServiceSecurity,COVID,-0.046990155917642794,6,0.03352614315125893,-0.0821736876584728,-0.011806624176812781,True
EnergyServiceSecurity,Compound,-0.007478214731739142,6,0.14205155167857547,-0.15655218529759116,0.14159575583411285,False
LowCarbonContinuity,COVID,0.07327954403151159,6,0.38245717070832563,-0.32808466730692054,0.47464375536994374,False
LowCarbonContinuity,Compound,0.15036518821741332,6,0.6709114252964564,-0.5537132177210577,0.8544435941558843,False
MacroPricePressure,COVID,0.11966772925805036,6,0.40728232384645646,-0.30774888421520924,0.5470843427313099,False
MacroPricePressure,Compound,-0.7673303486232402,6,0.706043930212838,-1.5082780596972158,-0.02638263754926451,True
