country,dimension,COVID,Compound,reordering
Indonesia,EnergyServiceSecurity,-0.053709534725483676,0.19098052877389182,0.2446900634993755
Indonesia,LowCarbonContinuity,0.1545518586214599,0.25699993392991854,0.10244807530845865
Indonesia,MacroPricePressure,0.7585543150966748,0.015508274827268312,-0.7430460402694065
Malaysia,EnergyServiceSecurity,0.008771386087650632,0.012836532860203862,0.00406514677255323
Malaysia,LowCarbonContinuity,-0.3805725170475975,-0.6874218076312008,-0.3068492905836033
Malaysia,MacroPricePressure,0.4234870945500087,-0.3415562072833187,-0.7650433018333274
Philippines,EnergyServiceSecurity,-0.04657937268762492,-0.2349583066406883,-0.18837893395306338
Philippines,LowCarbonContinuity,0.0208583318556336,0.10293591631029575,0.08207758445466215
Philippines,MacroPricePressure,-0.2242085582709049,-1.1496664076933845,-0.9254578494224796
Singapore,EnergyServiceSecurity,-0.034079154741478435,0.06764923531781514,0.10172839005929357
Singapore,LowCarbonContinuity,0.05417912441600283,0.2954287376586688,0.24124961324266594
Singapore,MacroPricePressure,-0.32623455930803097,-1.8161799873582887,-1.4899454280502578
Thailand,EnergyServiceSecurity,-0.09147660415542971,-0.01332566934313264,0.07815093481229707
Thailand,LowCarbonContinuity,-0.16131773192589563,-0.3432421634872606,-0.18192443156136498
Thailand,MacroPricePressure,0.051541823432961376,-1.1182854018633779,-1.1698272252963393
Vietnam,EnergyServiceSecurity,-0.06486765528349063,-0.06805160935852472,-0.0031839540750340928
Vietnam,LowCarbonContinuity,0.7519781982694663,1.2774905125240583,0.525512314254592
Vietnam,MacroPricePressure,0.034866260047593134,-0.19380236236833992,-0.22866862241593305
