country,indicator,dimension,year,observed,expected,z_observed,z_expected,gap
Indonesia,TDLoss,EnergyServiceSecurity,2020,7.623183070456281,7.737891983616076,-0.20614006076438668,-0.248325506868168,0.04218544610378133
Indonesia,TDLoss,EnergyServiceSecurity,2021,6.968448021387395,7.602551448732314,0.034645849971910475,-0.19855255825655993,0.2331984082284704
Indonesia,TDLoss,EnergyServiceSecurity,2022,6.806268229278077,7.46957810383019,0.09428922632941637,-0.14965016941783305,0.24393939574724943
Indonesia,TDLoss,EnergyServiceSecurity,2023,6.4534213076177736,7.338930545287303,0.22405250615275785,-0.10160311372108959,0.32565561987384745
Indonesia,AccessElec,EnergyServiceSecurity,2020,97.0,98.95534786203793,-0.14641794495067773,0.36331145971988815,-0.5097294046705658
Indonesia,AccessElec,EnergyServiceSecurity,2021,99.2,99.12516857984548,0.42708854565733256,0.4075811342209532,0.01950741143637935
Indonesia,AccessElec,EnergyServiceSecurity,2022,100.0,99.26758723311768,0.6356363604238807,0.4447075078733438,0.19092885255053693
Indonesia,AccessElec,EnergyServiceSecurity,2023,99.4,99.38696415235907,0.4792254993489705,0.47582725242503704,0.003398246923933479
Indonesia,Inflation,MacroPricePressure,2020,1.919835272707928,3.9853311771414064,0.43417995005070864,-0.26360613961259527,0.6977860896633039
Indonesia,Inflation,MacroPricePressure,2021,1.560078829833344,3.9853311771414064,0.5557164009174504,-0.26360613961259527,0.8193225405300457
Indonesia,Inflation,MacroPricePressure,2022,4.209464637147842,3.9853311771414064,-0.33932510389855614,-0.26360613961259527,-0.07571896428596087
Indonesia,Inflation,MacroPricePressure,2023,3.669386548597611,3.9853311771414064,-0.15687062567209778,-0.26360613961259527,0.10673551394049749
Indonesia,CO2IntElec,LowCarbonContinuity,2020,685.15,703.7406666666657,-1.2877888712662684,-1.4987249096699977,0.21093603840372932
Indonesia,CO2IntElec,LowCarbonContinuity,2021,684.41,707.7527878787869,-1.279392579125834,-1.544247803994056,0.2648552248682219
